Train ID,Scheduled Time,Day of Week
T00001,20:07,Saturday
T00002,08:15,Tuesday
T00003,23:06,Saturday
T00004,17:05,Thursday
T00005,01:01,Tuesday
T00006,07:32,Monday
T00007,17:12,Saturday
T00008,22:34,Tuesday
T00009,14:37,Sunday
T00010,00:48,Saturday
T00011,13:21,Tuesday
T00012,06:48,Monday
T00013,02:24,Wednesday
T00014,11:38,Sunday
T00015,01:46,Friday
T00016,03:59,Monday
T00017,17:18,Friday
T00018,11:36,Saturday
T00019,02:02,Tuesday
T00020,09:05,Sunday
T00021,03:24,Thursday
T00022,20:53,Tuesday
T00023,11:22,Saturday
T00024,08:44,Saturday
T00025,02:38,Tuesday
T00026,17:46,Tuesday
T00027,14:24,Saturday
T00028,22:35,Saturday
T00029,10:53,Tuesday
T00030,01:51,Thursday
T00031,08:04,Friday
T00032,22:20,Saturday
T00033,15:25,Thursday
T00034,04:16,Tuesday
T00035,23:35,Wednesday
T00036,23:37,Friday
T00037,12:23,Tuesday
T00038,16:31,Sunday
T00039,01:55,Tuesday
T00040,20:10,Thursday
T00041,19:04,Thursday
T00042,19:29,Wednesday
T00043,17:55,Saturday
T00044,23:07,Friday
T00045,08:49,Wednesday
T00046,03:18,Tuesday
T00047,14:00,Saturday
T00048,08:32,Friday
T00049,03:55,Wednesday
T00050,20:32,Tuesday
T00051,04:23,Friday
T00052,16:58,Friday
T00053,10:31,Monday
T00054,11:56,Tuesday
T00055,01:15,Monday
T00056,02:46,Sunday
T00057,02:48,Sunday
T00058,04:08,Thursday
T00059,17:10,Friday
T00060,19:27,Friday
T00061,23:44,Saturday
T00062,09:25,Saturday
T00063,11:28,Thursday
T00064,03:15,Monday
T00065,10:01,Friday
T00066,07:37,Monday
T00067,02:45,Monday
T00068,07:04,Sunday
T00069,10:04,Tuesday
T00070,08:42,Tuesday
T00071,17:08,Friday
T00072,18:30,Sunday
T00073,15:51,Tuesday
T00074,03:06,Thursday
T00075,11:27,Thursday
T00076,23:03,Saturday
T00077,20:06,Thursday
T00078,23:21,Tuesday
T00079,06:12,Thursday
T00080,04:27,Wednesday
T00081,14:15,Thursday
T00082,17:06,Saturday
T00083,17:53,Monday
T00084,07:10,Thursday
T00085,15:13,Monday
T00086,05:24,Thursday
T00087,08:59,Wednesday
T00088,13:44,Sunday
T00089,17:42,Thursday
T00090,04:12,Tuesday
T00091,01:37,Friday
T00092,01:47,Monday
T00093,01:37,Friday
T00094,16:10,Friday
T00095,02:54,Monday
T00096,19:04,Sunday
T00097,07:25,Friday
T00098,07:37,Monday
T00099,19:05,Saturday
T00100,18:36,Wednesday
T00101,08:13,Saturday
T00102,10:15,Thursday
T00103,04:42,Wednesday
